,Date,stock,value,change
376,4/23/2007,MSFT,23.16448,0.034747165
377,4/23/2007,IBM,79.050249,3.445015081
378,4/23/2007,SBUX,14.463686,-0.728534898
379,4/23/2007,AAPL,12.37123,-0.28874251
380,4/23/2007,GSPC,1480.930054,-0.03511442
381,4/24/2007,MSFT,23.172529,0.694684641
382,4/24/2007,IBM,81.773542,3.015536492
383,4/24/2007,SBUX,14.358313,1.595403304
384,4/24/2007,AAPL,12.335509,2.262979177
385,4/24/2007,GSPC,1480.410034,1.013908961
386,4/25/2007,MSFT,23.333505,0.379441494
387,4/25/2007,IBM,84.239453,-0.551939719
388,4/25/2007,SBUX,14.587386,-0.062814544
389,4/25/2007,AAPL,12.614659,3.660201992
390,4/25/2007,GSPC,1495.420044,-0.078241829
391,4/26/2007,MSFT,23.422042,3.505155528
392,4/26/2007,IBM,83.774502,0.26758858
393,4/26/2007,SBUX,14.578223,-1.005657548
394,4/26/2007,AAPL,13.076381,1.092672353
395,4/26/2007,GSPC,1494.25,-0.012049791
396,4/27/2007,MSFT,24.243021,-0.597611164
397,4/27/2007,IBM,83.998673,1.027973382
398,4/27/2007,SBUX,14.431616,-1.523807174
399,4/27/2007,AAPL,13.219263,-0.120097467
400,4/27/2007,GSPC,1494.069946,-0.783092588
401,4/30/2007,MSFT,24.098142,1.536404757
402,4/30/2007,IBM,84.862157,0.939241976
403,4/30/2007,SBUX,14.211706,-0.032241027
404,4/30/2007,AAPL,13.203387,-0.330657581
405,4/30/2007,GSPC,1482.369995,0.26511964
406,5/1/2007,MSFT,24.468387,0.69079339
407,5/1/2007,IBM,85.659218,-0.920806912
408,5/1/2007,SBUX,14.207124,0.773942706
409,5/1/2007,AAPL,13.159729,0.924905065
410,5/1/2007,GSPC,1486.300049,0.647244478
411,5/2/2007,MSFT,24.637413,1.176081271
412,5/2/2007,IBM,84.870462,0.567404711
413,5/2/2007,SBUX,14.317079,1.18400548
414,5/2/2007,AAPL,13.281444,0.009961266
415,5/2/2007,GSPC,1495.920044,0.432507809
416,5/3/2007,MSFT,24.927169,-1.323860724
417,5/3/2007,IBM,85.352021,0.155638963
418,5/3/2007,SBUX,14.486594,-2.9095521
419,5/3/2007,AAPL,13.282767,0.408356181
420,5/3/2007,GSPC,1502.390015,0.214989448
421,5/4/2007,MSFT,24.597168,0.490836994
422,5/4/2007,IBM,85.484862,0.194254276
423,5/4/2007,SBUX,14.065099,-1.140063074
424,5/4/2007,AAPL,13.337008,3.085017269
425,5/4/2007,GSPC,1505.619995,0.256371795
426,5/7/2007,MSFT,24.7179,0.130253784
427,5/7/2007,IBM,85.65092,0.515760952
428,5/7/2007,SBUX,13.904748,-0.560132409
429,5/7/2007,AAPL,13.748457,1.09699583
430,5/7/2007,GSPC,1509.47998,-0.116597042
431,5/8/2007,MSFT,24.750096,0.097563258
432,5/8/2007,IBM,86.092674,1.055277944
433,5/8/2007,SBUX,13.826863,-0.463879623
